Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
02M290 - P.S. 290 Manhattan New School,,,,,,,,,,,,,,,,,88.0,100.0,100.0,80.0,98.0,93.0,100.0,100.0,98.0,94.0,96.0,99.0,91.0,76.0,100.0,93.0,68.0,100.0,95.0,93.0,95.0,79.0,100.0,74.0,96.0,95.0,100.0,,,,,,,,,,,,,,68.0,91.0,92.0,95.0,95.0,92.0,93.0,94.0,93.0,96.0,84.0,94.0
"02M300 - Urban Assembly School of Design and Construction, The",,,,,,,,,,,,,,,,,90.0,,,62.0,100.0,96.0,,100.0,100.0,69.0,93.0,99.0,87.0,79.0,81.0,84.0,61.0,,89.0,65.0,87.0,95.0,,79.0,89.0,98.0,,,,,,,,,,,,,,,,,,96.0,74.0,94.0,95.0,81.0,98.0,99.0,86.0,
02M340 - Sixth Avenue Elementary School,,,,,,,,,,,,,,,,,72.0,,,64.0,70.0,87.0,,78.0,94.0,79.0,74.0,94.0,69.0,70.0,70.0,65.0,63.0,99.0,75.0,98.0,79.0,67.0,,45.0,71.0,97.0,,,,,,,,,,,,,,,77.0,93.0,95.0,91.0,85.0,96.0,94.0,97.0,96.0,97.0,89.0,98.0
02M343 - The Peck Slip School,,,,,,,,,,,,,,,,,92.0,,,83.0,96.0,96.0,,83.0,97.0,92.0,99.0,100.0,94.0,75.0,94.0,85.0,71.0,98.0,99.0,97.0,99.0,89.0,,81.0,100.0,97.0,,,,,,,,,,,,,,,60.0,93.0,91.0,91.0,86.0,97.0,93.0,93.0,99.0,97.0,88.0,97.0
02M527 - P.S. 527 - East Side School for Social Action,,,,,,,,,,,,,,,,,96.0,,,85.0,93.0,95.0,,100.0,96.0,84.0,98.0,98.0,91.0,71.0,96.0,95.0,82.0,96.0,97.0,95.0,91.0,94.0,,60.0,95.0,90.0,,,,,,,,,,,,,,,,,91.0,95.0,91.0,89.0,95.0,95.0,93.0,96.0,89.0,
03M009 - P.S. 009 Sarah Anderson,,,,,,,,,,,,,,,,,86.0,,,90.0,100.0,98.0,,78.0,99.0,94.0,97.0,99.0,96.0,88.0,97.0,90.0,89.0,97.0,97.0,86.0,93.0,95.0,,76.0,93.0,97.0,,,,,,,,,,,,,,,86.0,100.0,97.0,97.0,96.0,99.0,97.0,97.0,99.0,98.0,88.0,100.0
03M075 - P.S. 075 Emily Dickinson,,,,,,,,,,,,,,,,,90.0,,,62.0,66.0,85.0,,98.0,94.0,70.0,73.0,97.0,74.0,54.0,79.0,74.0,61.0,96.0,68.0,79.0,78.0,89.0,,45.0,62.0,67.0,,,,,,,,,,,,,,,,,92.0,92.0,91.0,97.0,94.0,94.0,94.0,96.0,84.0,
03M084 - P.S. 084 Lillian Weber,,,,,,,,,,,,,,,,,93.0,100.0,100.0,88.0,100.0,99.0,100.0,98.0,100.0,95.0,99.0,100.0,99.0,94.0,96.0,97.0,90.0,99.0,100.0,97.0,96.0,99.0,100.0,80.0,95.0,95.0,100.0,,,,,,,,,,,,,,79.0,96.0,92.0,92.0,95.0,94.0,91.0,94.0,93.0,95.0,84.0,100.0
03M087 - P.S. 087 William Sherman,,,,,,,,,,,,,,,,,87.0,,,91.0,100.0,95.0,,78.0,100.0,79.0,84.0,100.0,84.0,89.0,77.0,77.0,79.0,100.0,94.0,71.0,89.0,92.0,,79.0,88.0,87.0,,,,,,,,,,,,,,,,,94.0,93.0,89.0,97.0,95.0,97.0,98.0,98.0,85.0,
"03M145 - P.S. 145, The Bloomingdale School",,,,,,,,,,,,,,,,,90.0,100.0,100.0,72.0,83.0,94.0,85.0,95.0,95.0,85.0,91.0,99.0,91.0,50.0,93.0,86.0,73.0,93.0,90.0,93.0,82.0,91.0,100.0,70.0,91.0,87.0,100.0,,,,,,,,,,,,,,75.0,90.0,93.0,91.0,93.0,95.0,92.0,92.0,92.0,95.0,88.0,97.0
03M163 - P.S. 163 Alfred E. Smith,,,,,,,,,,,,,,,,,85.0,,,69.0,53.0,92.0,83.0,71.0,97.0,80.0,76.0,99.0,73.0,49.0,70.0,72.0,63.0,99.0,79.0,92.0,79.0,78.0,,53.0,78.0,81.0,,,,,,,,,,,,,,,95.0,100.0,92.0,94.0,87.0,95.0,95.0,93.0,93.0,95.0,88.0,100.0
03M165 - P.S. 165 Robert E. Simon,,,,,,,,,,,,,,,,,93.0,,,79.0,85.0,96.0,100.0,88.0,97.0,96.0,97.0,99.0,98.0,72.0,96.0,93.0,74.0,99.0,91.0,89.0,94.0,93.0,,79.0,93.0,97.0,,,,,,,,,,,,,,,89.0,98.0,95.0,97.0,94.0,98.0,96.0,97.0,98.0,97.0,90.0,100.0
03M166 - P.S. 166 The Richard Rodgers School of The Arts and Technology,,,,,,,,,,,,,,,,,88.0,,,78.0,76.0,82.0,,50.0,93.0,81.0,78.0,92.0,82.0,78.0,71.0,67.0,71.0,97.0,78.0,79.0,78.0,91.0,,52.0,55.0,81.0,,,,,,,,,,,,,,,,,89.0,94.0,84.0,75.0,89.0,94.0,70.0,91.0,86.0,
03M185 - The Locke School of Arts and Engineering,,,,,,,,,,,,,,,,,91.0,100.0,100.0,73.0,96.0,96.0,85.0,76.0,99.0,87.0,90.0,100.0,89.0,73.0,87.0,85.0,63.0,99.0,88.0,75.0,85.0,92.0,100.0,55.0,92.0,93.0,100.0,,,,,,,,,,,,,,59.0,90.0,83.0,92.0,81.0,87.0,91.0,93.0,91.0,96.0,84.0,98.0
03M199 - P.S. 199 Jessie Isador Straus,,,,,,,,,,,,,,,,,84.0,,,88.0,89.0,97.0,,100.0,100.0,89.0,96.0,99.0,98.0,67.0,97.0,94.0,87.0,100.0,99.0,94.0,92.0,91.0,,74.0,91.0,100.0,,,,,,,,,,,,,,,,,96.0,95.0,85.0,94.0,93.0,96.0,92.0,96.0,86.0,
03M241 - STEM Institute of Manhattan,,,,,,,,,,,,,,,,,96.0,,,50.0,80.0,95.0,,89.0,100.0,69.0,94.0,100.0,91.0,55.0,97.0,97.0,38.0,87.0,91.0,82.0,72.0,91.0,,77.0,92.0,79.0,,,,,,,,,,,,,,,83.0,100.0,93.0,92.0,88.0,94.0,94.0,92.0,97.0,95.0,90.0,89.0
03M242 - P.S. 242 - The Young Diplomats Magnet Academy,,,,,,,,,,,,,,,,,86.0,,,70.0,100.0,91.0,,50.0,92.0,80.0,89.0,94.0,90.0,77.0,85.0,83.0,77.0,100.0,74.0,67.0,70.0,100.0,,71.0,85.0,87.0,,,,,,,,,,,,,,,100.0,70.0,90.0,88.0,83.0,95.0,91.0,86.0,94.0,96.0,90.0,80.0
03M452 - P.S. 452,,,,,,,,,,,,,,,,,71.0,,,77.0,87.0,89.0,,75.0,87.0,71.0,76.0,94.0,89.0,47.0,75.0,71.0,58.0,98.0,86.0,88.0,79.0,81.0,,62.0,77.0,84.0,,,,,,,,,,,,,,,75.0,92.0,90.0,96.0,100.0,93.0,94.0,95.0,95.0,96.0,87.0,100.0
04M037 - River East Elementary,,,,,,,,,,,,,,,,,94.0,,,78.0,96.0,100.0,100.0,96.0,99.0,92.0,97.0,100.0,97.0,88.0,88.0,76.0,66.0,85.0,99.0,97.0,95.0,90.0,,92.0,98.0,99.0,,,,,,,,,,,,,,,73.0,94.0,89.0,92.0,91.0,95.0,93.0,94.0,95.0,95.0,88.0,100.0
04M038 - P.S. 38 Roberto Clemente,,,,,,,,,,,,,,,,,97.0,,,70.0,96.0,94.0,100.0,97.0,97.0,94.0,91.0,100.0,96.0,78.0,91.0,94.0,71.0,88.0,91.0,87.0,94.0,96.0,,78.0,78.0,94.0,,,,,,,,,,,,,,,93.0,93.0,96.0,93.0,95.0,96.0,94.0,92.0,95.0,94.0,95.0,94.0
04M083 - P.S. 083 Luis Munoz Rivera,,,,,,,,,,,,,,,,,95.0,,,73.0,100.0,96.0,,80.0,97.0,92.0,94.0,100.0,94.0,82.0,83.0,86.0,67.0,85.0,92.0,74.0,94.0,85.0,,51.0,95.0,100.0,,,,,,,,,,,,,,,89.0,100.0,94.0,95.0,89.0,94.0,94.0,95.0,95.0,95.0,90.0,100.0
04M102 - P.S. 102 Jacques Cartier,,,,,,,,,,,,,,,,,79.0,100.0,100.0,53.0,68.0,87.0,80.0,49.0,91.0,56.0,91.0,94.0,85.0,16.0,81.0,86.0,62.0,75.0,77.0,81.0,68.0,93.0,90.0,60.0,87.0,75.0,100.0,,,,,,,,,,,,,,95.0,96.0,92.0,96.0,90.0,97.0,96.0,92.0,94.0,98.0,94.0,100.0
04M112 - P.S. 112 Jose Celso Barbosa,,,,,,,,,,,,,,,,,84.0,,,83.0,88.0,99.0,89.0,55.0,95.0,86.0,87.0,95.0,89.0,89.0,80.0,82.0,64.0,82.0,85.0,63.0,91.0,80.0,,67.0,85.0,86.0,,,,,,,,,,,,,,,100.0,100.0,99.0,99.0,98.0,99.0,99.0,99.0,100.0,100.0,93.0,100.0
04M146 - P.S. 146 Ann M. Short,,,,,,,,,,,,,,,,,97.0,,,86.0,84.0,97.0,100.0,72.0,97.0,84.0,93.0,99.0,91.0,80.0,95.0,91.0,88.0,93.0,94.0,94.0,94.0,98.0,,79.0,89.0,90.0,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0
04M155 - P.S. 155 William Paca,,,,,,,,,,,,,,,,,88.0,,,82.0,64.0,85.0,,58.0,92.0,53.0,74.0,94.0,64.0,50.0,67.0,75.0,80.0,84.0,56.0,50.0,74.0,89.0,,57.0,71.0,53.0,,,,,,,,,,,,,,,100.0,93.0,84.0,86.0,92.0,88.0,88.0,94.0,86.0,89.0,91.0,100.0
04M182 - The Bilingual Bicultural School,,,,,,,,,,,,,,,,,90.0,,,95.0,96.0,96.0,,100.0,98.0,93.0,91.0,97.0,94.0,91.0,92.0,87.0,93.0,96.0,90.0,88.0,97.0,94.0,,81.0,89.0,91.0,,,,,,,,,,,,,,,100.0,100.0,99.0,98.0,90.0,100.0,98.0,95.0,99.0,97.0,95.0,100.0
04M375 - Mosaic Preparatory Academy,,,,,,,,,,,,,,,,,93.0,,,65.0,63.0,93.0,,100.0,93.0,81.0,91.0,100.0,87.0,40.0,95.0,91.0,56.0,71.0,78.0,57.0,82.0,87.0,,62.0,81.0,86.0,,,,,,,,,,,,,,,,,85.0,86.0,94.0,90.0,86.0,89.0,89.0,89.0,81.0,
04M497 - Central Park East I,,,,,,,,,,,,,,,,,89.0,,,89.0,93.0,99.0,100.0,100.0,100.0,76.0,96.0,97.0,100.0,73.0,93.0,89.0,84.0,100.0,93.0,96.0,100.0,98.0,,96.0,93.0,86.0,,,,,,,,,,,,,,,50.0,96.0,88.0,89.0,85.0,97.0,93.0,85.0,96.0,94.0,92.0,100.0
05M030 - P.S. 030 Hernandez/Hughes,,,,,,,,,,,,,,,,,100.0,,,68.0,100.0,90.0,,85.0,92.0,59.0,97.0,96.0,75.0,50.0,86.0,86.0,71.0,80.0,87.0,61.0,89.0,86.0,,74.0,95.0,92.0,,,,,,,,,,,,,,,100.0,99.0,91.0,89.0,87.0,93.0,90.0,90.0,92.0,93.0,87.0,97.0
05M036 - P.S. 036 Margaret Douglas,,,,,,,,,,,,,,,,,96.0,,,54.0,88.0,85.0,93.0,55.0,90.0,82.0,77.0,100.0,88.0,82.0,73.0,71.0,55.0,93.0,69.0,82.0,83.0,88.0,,58.0,63.0,82.0,,,,,,,,,,,,,,,25.0,100.0,98.0,92.0,88.0,94.0,93.0,93.0,94.0,96.0,91.0,92.0
05M092 - P.S. 092 Mary McLeod Bethune,,,,,,,,,,,,,,,,,74.0,,,44.0,70.0,90.0,,78.0,82.0,66.0,79.0,91.0,84.0,36.0,66.0,79.0,31.0,93.0,85.0,85.0,60.0,97.0,,38.0,61.0,66.0,,,,,,,,,,,,,,,67.0,88.0,84.0,88.0,77.0,94.0,93.0,92.0,90.0,93.0,93.0,86.0
05M125 - P.S. 125 Ralph Bunche,,,,,,,,,,,,,,,,,85.0,,,85.0,100.0,99.0,100.0,86.0,100.0,94.0,99.0,100.0,96.0,93.0,94.0,93.0,86.0,97.0,100.0,98.0,97.0,97.0,,86.0,99.0,92.0,,,,,,,,,,,,,,,89.0,97.0,97.0,96.0,95.0,99.0,97.0,97.0,97.0,98.0,84.0,100.0
05M129 - P.S. 129 John H. Finley,,,,,,,,,,,,,,,,,80.0,,,60.0,100.0,89.0,,,90.0,36.0,78.0,95.0,93.0,60.0,80.0,73.0,60.0,,87.0,80.0,50.0,,,40.0,80.0,73.0,,,,,,,,,,,,,,,96.0,97.0,94.0,96.0,88.0,92.0,95.0,96.0,89.0,97.0,92.0,97.0
05M133 - P.S. 133 Fred R Moore,,,,,,,,,,,,,,,,,94.0,,,83.0,96.0,98.0,,97.0,100.0,95.0,100.0,100.0,100.0,81.0,100.0,100.0,85.0,95.0,100.0,95.0,94.0,97.0,,80.0,99.0,100.0,,,,,,,,,,,,,,,98.0,90.0,98.0,91.0,96.0,99.0,99.0,90.0,99.0,99.0,95.0,93.0
05M154 - P.S. 154 Harriet Tubman,,,,,,,,,,,,,,,,,90.0,,,64.0,100.0,94.0,,50.0,99.0,89.0,96.0,99.0,91.0,63.0,94.0,92.0,63.0,95.0,94.0,94.0,93.0,100.0,,65.0,91.0,96.0,,,,,,,,,,,,,,,97.0,98.0,95.0,95.0,93.0,98.0,97.0,93.0,98.0,98.0,95.0,98.0
05M175 - P.S. 175 Henry H Garnet,,,,,,,,,,,,,,,,,92.0,,,87.0,100.0,97.0,,85.0,98.0,97.0,98.0,100.0,95.0,80.0,98.0,100.0,78.0,91.0,95.0,97.0,95.0,98.0,,82.0,94.0,95.0,,,,,,,,,,,,,,,82.0,95.0,90.0,90.0,90.0,97.0,94.0,93.0,96.0,96.0,93.0,98.0
05M194 - P.S. 194 Countee Cullen,,,,,,,,,,,,,,,,,92.0,,,65.0,69.0,94.0,,93.0,93.0,92.0,88.0,99.0,88.0,47.0,82.0,92.0,64.0,77.0,73.0,84.0,87.0,100.0,,66.0,74.0,80.0,,,,,,,,,,,,,,,100.0,,72.0,93.0,86.0,76.0,95.0,95.0,69.0,95.0,79.0,
05M197 - P.S. 197 John B. Russwurm,,,,,,,,,,,,,,,,,89.0,100.0,100.0,59.0,92.0,90.0,93.0,91.0,97.0,70.0,92.0,93.0,91.0,56.0,82.0,94.0,61.0,95.0,88.0,75.0,75.0,83.0,100.0,65.0,90.0,73.0,100.0,,,,,,,,,,,,,,94.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
05M200 - P.S. 200- The James McCune Smith School,,,,,,,,,,,,,,,,,89.0,,,65.0,92.0,98.0,,96.0,97.0,91.0,88.0,97.0,95.0,20.0,82.0,84.0,55.0,83.0,87.0,89.0,86.0,83.0,,66.0,78.0,89.0,,,,,,,,,,,,,,,88.0,95.0,88.0,92.0,88.0,94.0,92.0,89.0,92.0,94.0,89.0,100.0
05M318 - Thurgood Marshall Academy Lower School,,,,,,,,,,,,,,,,,90.0,,,87.0,100.0,98.0,,100.0,92.0,89.0,90.0,100.0,93.0,67.0,93.0,96.0,93.0,87.0,85.0,89.0,96.0,,,51.0,62.0,71.0,,,,,,,,,,,,,,,,,100.0,97.0,92.0,96.0,95.0,94.0,98.0,96.0,95.0,
06M004 - P.S. 004 Duke Ellington,,,,,,,,,,,,,,,,,80.0,100.0,100.0,75.0,96.0,86.0,82.0,96.0,94.0,73.0,89.0,94.0,85.0,79.0,83.0,92.0,63.0,84.0,86.0,71.0,85.0,86.0,100.0,63.0,86.0,82.0,100.0,,,,,,,,,,,,,,84.0,90.0,100.0,96.0,94.0,99.0,98.0,95.0,99.0,99.0,92.0,96.0
06M005 - P.S. 005 Ellen Lurie,,,,,,,,,,,,,,,,,92.0,100.0,100.0,84.0,97.0,95.0,94.0,100.0,97.0,91.0,96.0,100.0,94.0,84.0,91.0,83.0,75.0,97.0,86.0,87.0,92.0,88.0,100.0,67.0,90.0,93.0,100.0,,,,,,,,,,,,,,89.0,98.0,93.0,95.0,94.0,98.0,96.0,96.0,97.0,98.0,94.0,100.0
06M008 - P.S. 008 Luis Belliard,,,,,,,,,,,,,,,,,96.0,,,75.0,100.0,98.0,,100.0,100.0,80.0,78.0,100.0,89.0,67.0,100.0,85.0,80.0,100.0,100.0,96.0,86.0,100.0,,61.0,86.0,93.0,,,,,,,,,,,,,,,94.0,97.0,99.0,99.0,97.0,99.0,98.0,95.0,99.0,99.0,98.0,97.0
06M018 - P.S. 018 Park Terrace,,,,,,,,,,,,,,,,,89.0,,,75.0,83.0,91.0,,94.0,93.0,88.0,88.0,96.0,74.0,92.0,81.0,85.0,79.0,100.0,91.0,96.0,84.0,95.0,,56.0,90.0,91.0,,,,,,,,,,,,,,,,,99.0,98.0,92.0,99.0,97.0,96.0,98.0,97.0,96.0,
06M028 - P.S. 028 Wright Brothers,,,,,,,,,,,,,,,,,94.0,,,75.0,74.0,91.0,100.0,92.0,96.0,84.0,92.0,97.0,95.0,63.0,92.0,83.0,69.0,85.0,90.0,87.0,87.0,94.0,,64.0,76.0,81.0,,,,,,,,,,,,,,,91.0,97.0,91.0,93.0,87.0,98.0,95.0,95.0,96.0,98.0,92.0,94.0
06M048 - P.S. 048 P.O. Michael J. Buczek,,,,,,,,,,,,,,,,,79.0,,,66.0,52.0,82.0,93.0,70.0,80.0,66.0,70.0,88.0,48.0,62.0,45.0,51.0,51.0,90.0,63.0,57.0,55.0,75.0,,34.0,58.0,63.0,,,,,,,,,,,,,,,75.0,98.0,90.0,93.0,89.0,97.0,93.0,94.0,96.0,95.0,89.0,99.0
06M098 - P.S. 098 Shorac Kappock,,,,,,,,,,,,,,,,,79.0,100.0,100.0,56.0,80.0,88.0,100.0,100.0,95.0,90.0,71.0,97.0,82.0,67.0,68.0,64.0,61.0,87.0,73.0,85.0,76.0,90.0,100.0,49.0,65.0,88.0,100.0,,,,,,,,,,,,,,81.0,98.0,93.0,94.0,90.0,97.0,96.0,96.0,97.0,97.0,95.0,98.0
06M103 - Dos Puentes Elementary School,,,,,,,,,,,,,,,,,91.0,,,81.0,94.0,95.0,,80.0,99.0,97.0,95.0,99.0,99.0,74.0,89.0,87.0,76.0,93.0,94.0,67.0,99.0,85.0,,84.0,97.0,99.0,,,,,,,,,,,,,,,,,97.0,97.0,94.0,99.0,98.0,97.0,99.0,99.0,92.0,
06M115 - P.S. 115 Alexander Humboldt,,,,,,,,,,,,,,,,,88.0,,,59.0,84.0,89.0,,86.0,89.0,86.0,84.0,97.0,83.0,54.0,76.0,74.0,55.0,85.0,80.0,85.0,82.0,88.0,,49.0,73.0,82.0,,,,,,,,,,,,,,,100.0,100.0,98.0,98.0,97.0,100.0,99.0,98.0,100.0,99.0,97.0,100.0
06M128 - P.S. 128 Audubon,,,,,,,,,,,,,,,,,97.0,100.0,100.0,73.0,97.0,96.0,94.0,91.0,99.0,86.0,94.0,100.0,95.0,79.0,88.0,87.0,70.0,93.0,94.0,94.0,83.0,88.0,100.0,62.0,93.0,85.0,100.0,,,,,,,,,,,,,,92.0,100.0,95.0,94.0,92.0,98.0,96.0,96.0,98.0,97.0,91.0,100.0
06M132 - P.S. 132 Juan Pablo Duarte,,,,,,,,,,,,,,,,,94.0,,,81.0,86.0,93.0,,89.0,97.0,88.0,96.0,100.0,95.0,64.0,97.0,91.0,81.0,92.0,86.0,95.0,89.0,100.0,,90.0,91.0,88.0,,,,,,,,,,,,,,,,,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,100.0,
06M152 - P.S. 152 Dyckman Valley,,,,,,,,,,,,,,,,,95.0,,,86.0,97.0,95.0,100.0,100.0,100.0,99.0,98.0,100.0,94.0,68.0,96.0,93.0,79.0,98.0,90.0,99.0,98.0,100.0,,85.0,93.0,95.0,,,,,,,,,,,,,,,99.0,100.0,100.0,99.0,98.0,99.0,100.0,94.0,100.0,100.0,96.0,100.0
06M153 - P.S. 153 Adam Clayton Powell,,,,,,,,,,,,,,,,,84.0,100.0,100.0,78.0,90.0,95.0,100.0,88.0,94.0,87.0,95.0,97.0,95.0,62.0,93.0,89.0,82.0,96.0,95.0,74.0,83.0,95.0,100.0,72.0,97.0,96.0,100.0,,,,,,,,,,,,,,83.0,95.0,93.0,93.0,85.0,94.0,93.0,92.0,93.0,95.0,89.0,96.0
06M178 - Professor Juan Bosch Public School,,,,,,,,,,,,,,,,,94.0,,,85.0,97.0,97.0,,100.0,100.0,94.0,95.0,100.0,96.0,95.0,94.0,95.0,81.0,100.0,96.0,99.0,96.0,98.0,,72.0,96.0,96.0,,,,,,,,,,,,,,,,,95.0,92.0,86.0,96.0,95.0,98.0,95.0,96.0,93.0,
06M189 - P.S. 189,,,,,,,,,,,,,,,,,96.0,100.0,100.0,89.0,98.0,98.0,100.0,100.0,99.0,95.0,96.0,97.0,95.0,84.0,88.0,88.0,86.0,92.0,92.0,86.0,92.0,98.0,100.0,69.0,98.0,91.0,100.0,,,,,,,,,,,,,,87.0,95.0,97.0,97.0,97.0,98.0,97.0,96.0,98.0,97.0,95.0,98.0
06M192 - P.S. 192 Jacob H. Schiff,,,,,,,,,,,,,,,,,92.0,,,69.0,89.0,91.0,,93.0,94.0,89.0,75.0,99.0,80.0,77.0,79.0,74.0,61.0,97.0,74.0,94.0,82.0,85.0,,51.0,68.0,85.0,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0
06M314 - Muscota,,,,,,,,,,,,,,,,,89.0,,,88.0,100.0,97.0,,100.0,100.0,92.0,99.0,100.0,100.0,92.0,100.0,100.0,88.0,100.0,100.0,97.0,100.0,100.0,,92.0,100.0,100.0,,,,,,,,,,,,,,,,,97.0,90.0,92.0,99.0,94.0,97.0,99.0,97.0,88.0,
06M513 - Castle Bridge School,,,,,,,,,,,,,,,,,95.0,,,88.0,100.0,100.0,100.0,50.0,100.0,93.0,99.0,100.0,95.0,90.0,97.0,93.0,90.0,95.0,100.0,87.0,95.0,99.0,,89.0,99.0,100.0,,,,,,,,,,,,,,,88.0,100.0,95.0,93.0,94.0,98.0,97.0,98.0,98.0,99.0,85.0,100.0
07X001 - P.S. 001 Courtlandt School,,,,,,,,,,,,,,,,,75.0,,,63.0,74.0,81.0,,71.0,93.0,72.0,74.0,94.0,83.0,50.0,75.0,77.0,54.0,70.0,64.0,67.0,72.0,79.0,,39.0,65.0,76.0,,,,,,,,,,,,,,,89.0,99.0,96.0,95.0,93.0,98.0,98.0,95.0,98.0,98.0,96.0,97.0
07X018 - P.S. 018 John Peter Zenger,,,,,,,,,,,,,,,,,78.0,,,57.0,43.0,80.0,,88.0,89.0,53.0,63.0,96.0,55.0,26.0,56.0,63.0,53.0,58.0,45.0,85.0,63.0,84.0,,34.0,38.0,62.0,,,,,,,,,,,,,,,100.0,90.0,93.0,92.0,69.0,97.0,92.0,89.0,100.0,98.0,85.0,100.0
07X025 - P.S. 025 Bilingual School,,,,,,,,,,,,,,,,,92.0,,,65.0,91.0,87.0,,82.0,96.0,88.0,95.0,97.0,89.0,75.0,89.0,86.0,61.0,86.0,90.0,96.0,83.0,86.0,,55.0,95.0,88.0,,,,,,,,,,,,,,,100.0,98.0,97.0,96.0,95.0,98.0,98.0,95.0,98.0,98.0,96.0,100.0
07X030 - P.S. 030 Wilton,,,,,,,,,,,,,,,,,93.0,,,59.0,78.0,86.0,93.0,89.0,92.0,60.0,88.0,93.0,82.0,60.0,80.0,91.0,51.0,77.0,79.0,74.0,69.0,54.0,,57.0,75.0,75.0,,,,,,,,,,,,,,,86.0,96.0,87.0,92.0,99.0,90.0,93.0,90.0,91.0,93.0,87.0,98.0
07X043 - P.S. 043 Jonas Bronck,,,,,,,,,,,,,,,,,85.0,,,60.0,77.0,94.0,,71.0,94.0,67.0,92.0,99.0,94.0,41.0,85.0,81.0,49.0,76.0,85.0,52.0,80.0,82.0,,61.0,87.0,76.0,,,,,,,,,,,,,,,75.0,93.0,89.0,94.0,98.0,95.0,94.0,92.0,94.0,97.0,89.0,100.0
07X049 - P.S. 049 Willis Avenue,,,,,,,,,,,,,,,,,89.0,100.0,100.0,75.0,99.0,96.0,100.0,87.0,100.0,82.0,97.0,99.0,99.0,75.0,95.0,84.0,73.0,83.0,94.0,86.0,88.0,94.0,100.0,72.0,95.0,89.0,100.0,,,,,,,,,,,,,,100.0,100.0,92.0,95.0,92.0,94.0,94.0,95.0,93.0,95.0,89.0,100.0
07X065 - P.S. 065 Mother Hale Academy,,,,,,,,,,,,,,,,,92.0,,,39.0,62.0,95.0,,22.0,96.0,78.0,93.0,96.0,72.0,0.0,79.0,85.0,49.0,73.0,56.0,80.0,73.0,88.0,,48.0,80.0,85.0,,,,,,,,,,,,,,,100.0,100.0,93.0,96.0,100.0,96.0,95.0,98.0,95.0,95.0,92.0,100.0
07X154 - P.S. 154 Jonathan D. Hyatt,,,,,,,,,,,,,,,,,90.0,,,65.0,75.0,93.0,,100.0,94.0,84.0,95.0,99.0,80.0,88.0,81.0,75.0,61.0,77.0,91.0,78.0,79.0,92.0,,56.0,92.0,78.0,,,,,,,,,,,,,,,100.0,89.0,94.0,95.0,92.0,97.0,93.0,95.0,96.0,97.0,94.0,100.0
07X157 - P.S. 157 Grove Hill,,,,,,,,,,,,,,,,,89.0,83.0,100.0,72.0,86.0,91.0,96.0,88.0,94.0,86.0,92.0,96.0,90.0,72.0,93.0,90.0,65.0,87.0,95.0,96.0,86.0,100.0,92.0,59.0,90.0,93.0,100.0,,,,,,,,,,,,,,100.0,90.0,97.0,95.0,95.0,96.0,94.0,94.0,96.0,96.0,89.0,100.0
07X161 - P.S. 161 Juan Ponce De Leon School,,,,,,,,,,,,,,,,,84.0,100.0,100.0,44.0,80.0,85.0,86.0,82.0,90.0,93.0,81.0,95.0,84.0,25.0,75.0,75.0,49.0,68.0,51.0,86.0,77.0,70.0,100.0,40.0,50.0,96.0,100.0,,,,,,,,,,,,,,65.0,88.0,90.0,93.0,92.0,93.0,94.0,90.0,94.0,94.0,92.0,96.0
07X179 - P.S. 179,,,,,,,,,,,,,,,,,81.0,,,50.0,69.0,75.0,,30.0,78.0,48.0,68.0,89.0,65.0,64.0,58.0,43.0,39.0,62.0,59.0,31.0,57.0,70.0,,37.0,71.0,75.0,,,,,,,,,,,,,,,70.0,87.0,94.0,90.0,86.0,94.0,92.0,91.0,92.0,95.0,80.0,91.0
07X277 - P.S. 277,,,,,,,,,,,,,,,,,89.0,100.0,100.0,71.0,73.0,87.0,86.0,81.0,98.0,71.0,89.0,93.0,80.0,45.0,80.0,75.0,59.0,70.0,85.0,55.0,74.0,85.0,100.0,70.0,86.0,90.0,100.0,,,,,,,,,,,,,,90.0,97.0,86.0,91.0,78.0,97.0,94.0,95.0,97.0,95.0,91.0,97.0
07X369 - Young Leaders Elementary School,,,,,,,,,,,,,,,,,90.0,100.0,100.0,47.0,91.0,93.0,100.0,100.0,99.0,87.0,98.0,100.0,94.0,55.0,94.0,83.0,50.0,81.0,91.0,70.0,93.0,91.0,100.0,73.0,97.0,95.0,100.0,,,,,,,,,,,,,,93.0,98.0,97.0,96.0,87.0,98.0,96.0,94.0,98.0,97.0,88.0,100.0
07X642 - South Bronx Literacy Academy,,,,,,,,,,,,,,,,,94.0,,,26.0,50.0,79.0,,58.0,94.0,70.0,79.0,100.0,80.0,13.0,81.0,70.0,37.0,96.0,51.0,98.0,76.0,98.0,,71.0,65.0,86.0,,,,,,,,,,,,,,,,,98.0,97.0,95.0,99.0,98.0,97.0,99.0,99.0,89.0,
